"Year","Gender","Policy_Stu","Minority_Stu","Poor_Stu","Father_Edu","Mother_Edu","Father_Occupation","Mother_Occupation","Time_Friends","Time_SocicalMedia","Time_Studying","GPA","Adapt_Learning_Uni","Study_Methods","SupportOf_Uni","SupportOf_Lec","Facilitie_Uni","Quality_Lecturer","TrainingCurriculum","Competitive_Class","InfuenceF_Friends"
"5.0","2.0","1.0","1.0","2.0","2.0","6.0","3.0","3.0","3.0","3.0","5.0","3.0","3.0","3.0","3.0","4.0","3.0","5.0","5.0","3.0","3.0"
"5.0","2.0","1.0","2.0","1.0","3.0","2.0","3.0","3.0","2.0","5.0","5.0","3.0","2.0","4.0","4.0","4.0","4.0","4.0","4.0","5.0","4.0"
"5.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","5.0","5.0","2.0","3.0","3.0","3.0","5.0","3.0","5.0","5.0","5.0","4.0"
"5.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","5.0","3.0","3.0","3.0","5.0","3.0","5.0","4.0","3.0","3.0","4.0"
"5.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","5.0","3.0","3.0","4.0","4.0","3.0","4.0","5.0","4.0","4.0","5.0"
"5.0","2.0","2.0","2.0","2.0","2.0","3.0","1.0","1.0","3.0","3.0","5.0","3.0","4.0","4.0","4.0","4.0","5.0","4.0","4.0","4.0","4.0"
"5.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"5.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","5.0","3.0","4.0","3.0","3.0","3.0","5.0","5.0","4.0","3.0","3.0"
"5.0","2.0","1.0","2.0","2.0","5.0","5.0","2.0","2.0","3.0","4.0","5.0","4.0","3.0","3.0","4.0","5.0","5.0","5.0","4.0","3.0","3.0"
"5.0","2.0","1.0","2.0","2.0","3.0","3.0","2.0","2.0","4.0","5.0","5.0","3.0","4.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0"
"5.0","2.0","1.0","2.0","2.0","5.0","4.0","4.0","4.0","5.0","5.0","5.0","3.0","4.0","3.0","4.0","5.0","5.0","4.0","4.0","4.0","4.0"
"5.0","2.0","1.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","5.0","3.0","4.0","4.0","5.0","4.0","5.0","5.0","4.0","3.0","4.0"
"5.0","2.0","2.0","2.0","2.0","4.0","4.0","3.0","3.0","4.0","5.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0"
"5.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","1.0","3.0","5.0","3.0","2.0","4.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0"
"5.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","3.0","5.0","5.0","3.0","3.0","4.0","5.0","4.0","5.0","4.0","4.0","5.0","5.0"
"5.0","2.0","1.0","1.0","2.0","4.0","3.0","3.0","4.0","3.0","4.0","5.0","3.0","3.0","3.0","4.0","4.0","5.0","3.0","5.0","3.0","4.0"
"5.0","2.0","2.0","2.0","2.0","4.0","5.0","4.0","3.0","4.0","5.0","5.0","3.0","4.0","3.0","5.0","5.0","4.0","3.0","4.0","5.0","4.0"
"5.0","2.0","2.0","2.0","2.0","5.0","4.0","2.0","2.0","2.0","2.0","5.0","4.0","4.0","3.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0"
"5.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","1.0","1.0","5.0","3.0","3.0","4.0","5.0","3.0","4.0","5.0","4.0","3.0","3.0"
"5.0","2.0","2.0","2.0","2.0","5.0","3.0","1.0","3.0","2.0","2.0","5.0","5.0","3.0","4.0","4.0","4.0","4.0","5.0","3.0","5.0","4.0"
"5.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","5.0","3.0","3.0","3.0","3.0","5.0","5.0","5.0","5.0","3.0","4.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","2.0","2.0","5.0","4.0","4.0","3.0","5.0","3.0","5.0","3.0","1.0","3.0","4.0","5.0","5.0","4.0","4.0","4.0","4.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","5.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","1.0","3.0","5.0","3.0","4.0","3.0","5.0","3.0","4.0","4.0","4.0","2.0","4.0"
"4.0","2.0","1.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","5.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","5.0","2.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","1.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","3.0","5.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0","1.0"
"4.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","1.0","5.0","3.0","2.0","5.0","4.0","5.0","5.0","5.0","3.0","3.0","4.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","2.0","3.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","1.0","2.0","4.0","3.0","3.0","4.0","3.0","2.0","5.0","3.0","3.0","2.0","2.0","4.0","2.0","3.0","2.0","3.0","4.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0","1.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","4.0","4.0","4.0","3.0","5.0","3.0","4.0","3.0","3.0","4.0","3.0","3.0","3.0","3.0","4.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","1.0","1.0","2.0","2.0","5.0","3.0","1.0","2.0","5.0","5.0","5.0","4.0","5.0","2.0","2.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","5.0","3.0","3.0","2.0","5.0","4.0","5.0","4.0","4.0","2.0","5.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","2.0","3.0","5.0","3.0","3.0","4.0","4.0","3.0","4.0","5.0","5.0","5.0","2.0"
"4.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","4.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","5.0","3.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","2.0","5.0","3.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","1.0","2.0","2.0","3.0","3.0","3.0","1.0","3.0","5.0","3.0","3.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","3.0","3.0","3.0","2.0","5.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0"
"4.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","2.0","3.0","5.0","4.0","5.0","3.0","3.0","5.0","3.0","5.0","1.0","4.0","3.0"
"4.0","1.0","1.0","1.0","2.0","5.0","5.0","3.0","1.0","2.0","3.0","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"4.0","1.0","2.0","2.0","2.0","5.0","2.0","3.0","3.0","1.0","1.0","5.0","3.0","2.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","2.0"
"4.0","2.0","1.0","1.0","2.0","2.0","1.0","4.0","4.0","2.0","2.0","5.0","3.0","1.0","1.0","3.0","4.0","2.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","1.0","3.0","5.0","4.0","2.0","1.0","2.0","3.0","3.0","1.0","1.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","2.0","5.0","4.0","3.0","3.0","4.0","4.0","3.0","5.0","4.0","4.0","3.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","5.0","3.0","1.0","2.0","2.0","2.0","5.0","5.0","5.0","2.0","5.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","5.0","2.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","1.0","1.0","3.0","3.0","2.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","2.0","2.0","4.0","4.0","5.0","3.0","4.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","3.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0","3.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","1.0","2.0","5.0","3.0","2.0","2.0","2.0","5.0","5.0","5.0","2.0","2.0","2.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","1.0","1.0","2.0","3.0","5.0","4.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","1.0","4.0","4.0","3.0","1.0","3.0","5.0","4.0","2.0","2.0","2.0","3.0","2.0","3.0","3.0","3.0","2.0"
"4.0","2.0","2.0","2.0","2.0","2.0","3.0","1.0","1.0","1.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","4.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","2.0","2.0","5.0","4.0","4.0","4.0","2.0","3.0","5.0","3.0","4.0","3.0","4.0","5.0","3.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","1.0","1.0","4.0","3.0","5.0","3.0","2.0","3.0","3.0","2.0","2.0","3.0","1.0","1.0","2.0"
"4.0","2.0","1.0","2.0","2.0","4.0","3.0","4.0","3.0","2.0","2.0","5.0","4.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","2.0","2.0","3.0","3.0","5.0","3.0","1.0","1.0","5.0","5.0","5.0","5.0","5.0","2.0","2.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","2.0","2.0","3.0","4.0","5.0","3.0","1.0","2.0","2.0","2.0","5.0","5.0","5.0","2.0","5.0"
"4.0","2.0","1.0","1.0","2.0","3.0","3.0","2.0","2.0","3.0","3.0","5.0","3.0","3.0","1.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0"
"4.0","2.0","1.0","1.0","2.0","1.0","1.0","3.0","3.0","1.0","3.0","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0"
"4.0","2.0","1.0","2.0","1.0","3.0","2.0","3.0","3.0","2.0","2.0","5.0","3.0","2.0","4.0","3.0","4.0","4.0","4.0","4.0","5.0","4.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","1.0"
"4.0","2.0","1.0","1.0","2.0","2.0","6.0","3.0","3.0","3.0","3.0","5.0","3.0","3.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","4.0","3.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","2.0","2.0","5.0","3.0","3.0","2.0","4.0","4.0","4.0","4.0","3.0","4.0","3.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","2.0","1.0","2.0","3.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","4.0","5.0","4.0","3.0","4.0","5.0","5.0","3.0","4.0","3.0","3.0","5.0","4.0","3.0","4.0","5.0","4.0"
"4.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","3.0","2.0","5.0","3.0","3.0","3.0","4.0","5.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","1.0","1.0","2.0","2.0","5.0","3.0","5.0","5.0","5.0","5.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","2.0","2.0","5.0","3.0","3.0","3.0","3.0","2.0","5.0","4.0","4.0","4.0","3.0","3.0","2.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","5.0","3.0","3.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0","5.0"
"4.0","2.0","2.0","2.0","2.0","3.0","2.0","1.0","1.0","3.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","4.0","5.0"
"4.0","2.0","1.0","2.0","2.0","5.0","5.0","2.0","2.0","3.0","2.0","5.0","4.0","3.0","3.0","4.0","5.0","5.0","3.0","2.0","3.0","3.0"
"4.0","2.0","1.0","2.0","1.0","1.0","3.0","4.0","1.0","4.0","3.0","5.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","2.0","3.0","5.0","3.0","2.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","1.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","4.0","4.0","1.0","1.0","2.0","3.0","5.0","3.0","3.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","1.0","3.0","5.0","3.0","4.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","2.0","5.0","3.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","2.0","2.0","2.0","4.0","4.0","3.0","3.0","4.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0"
"4.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","5.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","4.0","3.0","4.0","3.0","5.0","3.0","1.0","3.0","3.0","3.0","4.0","3.0","4.0","4.0","4.0"
"4.0","2.0","1.0","2.0","2.0","4.0","4.0","4.0","4.0","4.0","2.0","5.0","3.0","3.0","4.0","4.0","4.0","3.0","4.0","3.0","4.0","3.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","1.0","2.0","5.0","3.0","3.0","4.0","3.0","5.0","5.0","5.0","5.0","5.0","4.0"
"4.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","2.0","3.0","5.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0"
"4.0","2.0","2.0","2.0","2.0","5.0","3.0","3.0","3.0","2.0","2.0","5.0","3.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0"
"4.0","2.0","1.0","1.0","2.0","2.0","1.0","3.0","3.0","1.0","3.0","5.0","3.0","2.0","2.0","3.0","3.0","2.0","4.0","4.0","3.0","3.0"
"4.0","2.0","1.0","1.0","2.0","2.0","1.0","3.0","3.0","1.0","2.0","5.0","3.0","3.0","4.0","3.0","3.0","2.0","4.0","3.0","2.0","2.0"
"4.0","2.0","1.0","1.0","2.0","5.0","1.0","1.0","3.0","3.0","3.0","5.0","3.0","3.0","2.0","5.0","5.0","5.0","5.0","5.0","5.0","4.0"
"4.0","2.0","2.0","2.0","2.0","4.0","4.0","1.0","2.0","2.0","3.0","5.0","3.0","4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","4.0"
"4.0","2.0","1.0","1.0","2.0","2.0","2.0","1.0","2.0","2.0","3.0","5.0","3.0","4.0","4.0","5.0","5.0","3.0","4.0","4.0","5.0","5.0"
"4.0","2.0","1.0","2.0","2.0","4.0","3.0","3.0","3.0","2.0","4.0","5.0","3.0","4.0","3.0","4.0","4.0","4.0","5.0","3.0","4.0","4.0"
"4.0","2.0","2.0","2.0","2.0","5.0","4.0","4.0","4.0","3.0","3.0","5.0","3.0","4.0","4.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","5.0","5.0","4.0","4.0","4.0","4.0","5.0","3.0","4.0","3.0","5.0","4.0","4.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","4.0","4.0","1.0","1.0","2.0","3.0","5.0","3.0","2.0","2.0","2.0","2.0","3.0","4.0","4.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","1.0","2.0","2.0","4.0","5.0","3.0","2.0","3.0","2.0","4.0","3.0","2.0","2.0","2.0","2.0"
"4.0","2.0","1.0","2.0","2.0","3.0","5.0","4.0","3.0","4.0","3.0","5.0","3.0","4.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0"
"4.0","2.0","2.0","2.0","2.0","4.0","5.0","4.0","3.0","4.0","1.0","5.0","3.0","4.0","3.0","3.0","5.0","4.0","3.0","4.0","5.0","4.0"
"4.0","2.0","1.0","1.0","2.0","1.0","1.0","2.0","3.0","1.0","3.0","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","2.0","2.0","2.0","2.0","3.0","1.0","1.0","3.0","3.0","5.0","3.0","4.0","4.0","4.0","4.0","5.0","4.0","4.0","4.0","4.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","5.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","1.0","3.0","5.0","3.0","4.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0"
"4.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","4.0","2.0","5.0","3.0","2.0","3.0","3.0","3.0","3.0","2.0","3.0","2.0","2.0"
"3.0","2.0","1.0","1.0","2.0","1.0","5.0","3.0","1.0","2.0","4.0","5.0","4.0","3.0","3.0","4.0","4.0","5.0","4.0","4.0","3.0","3.0"
"3.0","2.0","1.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","4.0","4.0","3.0","4.0","4.0","5.0","5.0","5.0","4.0","4.0","4.0","4.0"
"3.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","1.0","5.0","3.0","3.0","5.0","4.0","5.0","5.0","5.0","5.0","3.0","4.0"
"3.0","2.0","1.0","2.0","2.0","5.0","4.0","4.0","3.0","2.0","3.0","5.0","3.0","3.0","3.0","4.0","5.0","5.0","4.0","4.0","4.0","4.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","5.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"3.0","2.0","1.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","4.0","2.0","4.0","3.0","5.0","5.0","5.0","3.0","4.0"
"3.0","2.0","1.0","1.0","2.0","4.0","1.0","1.0","3.0","2.0","2.0","5.0","3.0","3.0","3.0","4.0","4.0","5.0","5.0","4.0","3.0","3.0"
"3.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","5.0","2.0","3.0","3.0","5.0","3.0","5.0","5.0","5.0","4.0","5.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","4.0","3.0","3.0","3.0","4.0","3.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","2.0","3.0","5.0","4.0","5.0","3.0","5.0","5.0","5.0","5.0","4.0","4.0","3.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","5.0","3.0","3.0","3.0","5.0","3.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"3.0","2.0","1.0","2.0","2.0","4.0","4.0","1.0","1.0","2.0","2.0","5.0","3.0","5.0","5.0","5.0","5.0","4.0","4.0","4.0","4.0","4.0"
"3.0","2.0","1.0","2.0","2.0","1.0","2.0","3.0","3.0","1.0","3.0","5.0","4.0","3.0","4.0","4.0","4.0","5.0","4.0","4.0","4.0","3.0"
"3.0","2.0","1.0","1.0","2.0","6.0","6.0","3.0","3.0","2.0","4.0","5.0","3.0","3.0","3.0","4.0","5.0","5.0","5.0","5.0","4.0","4.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","5.0","3.0","3.0","3.0","5.0","3.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","2.0","5.0","3.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","4.0","4.0","2.0","3.0","4.0","3.0","3.0","3.0","4.0","4.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","2.0","2.0","2.0","5.0","5.0","4.0","4.0","4.0","4.0","5.0","3.0","4.0","3.0","5.0","4.0","4.0","5.0","5.0","3.0","3.0"
"3.0","2.0","1.0","2.0","2.0","4.0","4.0","3.0","3.0","3.0","2.0","5.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","3.0"
"3.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","1.0","3.0","5.0","4.0","3.0","3.0","5.0","3.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","1.0","1.0","2.0","1.0","1.0","4.0","4.0","1.0","4.0","5.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","5.0"
"3.0","2.0","1.0","1.0","2.0","6.0","3.0","1.0","3.0","1.0","4.0","5.0","3.0","3.0","2.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0"
"3.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","2.0","4.0","4.0","3.0","3.0","2.0","5.0","4.0","5.0","5.0","5.0","4.0","4.0"
"3.0","2.0","1.0","1.0","2.0","2.0","6.0","3.0","3.0","1.0","4.0","5.0","3.0","3.0","2.0","5.0","4.0","5.0","4.0","5.0","3.0","4.0"
"3.0","1.0","1.0","2.0","2.0","6.0","5.0","3.0","1.0","2.0","4.0","5.0","4.0","4.0","3.0","4.0","4.0","5.0","5.0","5.0","3.0","4.0"
"3.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"3.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","2.0","5.0","3.0","3.0","3.0","4.0","5.0","4.0","5.0","5.0","5.0","4.0","4.0"
"3.0","2.0","1.0","1.0","2.0","4.0","4.0","1.0","1.0","1.0","2.0","5.0","4.0","3.0","4.0","5.0","5.0","4.0","5.0","4.0","4.0","5.0"
"3.0","2.0","1.0","2.0","2.0","4.0","4.0","1.0","1.0","2.0","3.0","5.0","4.0","3.0","3.0","4.0","3.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","1.0","1.0","2.0","6.0","2.0","2.0","2.0","3.0","4.0","5.0","3.0","3.0","3.0","5.0","5.0","5.0","4.0","5.0","5.0","4.0"
"3.0","2.0","2.0","2.0","2.0","2.0","3.0","1.0","1.0","1.0","2.0","5.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0"
"3.0","2.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","5.0","3.0","3.0","2.0","5.0","4.0","5.0","4.0","4.0","4.0","5.0"
"3.0","2.0","1.0","1.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","5.0","3.0","4.0","3.0","5.0","3.0","5.0","5.0","5.0","3.0","3.0"
"3.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","2.0","2.0","4.0","3.0","3.0","3.0","4.0","3.0","4.0","5.0","5.0","4.0","4.0"
